"id","rating","raters"
1088,3.97,44812
1089,4,98190
1090,3.74,112317
1091,4,77967
1092,3.76,144965
1093,3.93,75061
1094,3.67,94088
1095,4.14,47709
1096,3.47,29353
1097,3.78,29196
1098,3.72,110863
1099,4.58,46289
1100,3.7,115657
1101,4.01,46937
1102,3.75,151674
1103,3.5,76944
1104,3.89,72142
1105,3.78,110539
1106,3.58,121426
1107,3.47,131056
1108,3.7,77614
1109,3.79,160251
1110,3.57,75764
1111,3.62,75004
1112,3.7,26443
1113,3.9,76390
1114,3.62,83255
1115,4.52,60801
1116,3.89,113228
1117,3.67,80096
1118,3.88,67479
1119,3.83,82693
1120,3.57,109228
1121,3.7,89943
1122,3.82,158597
1123,3.78,113755
1124,4.25,51574
1125,4.25,51574
1126,4.04,32435
1127,4.13,39315
1128,3.57,66464
1129,3.61,75539
1130,3.3,54081
1131,3.75,41167
1132,3.55,59070
1133,3.58,78476
1134,4.04,43425
1135,3.69,136166
1136,4.01,18513
1137,4.35,22654
1138,4.48,28029
1139,3.84,177115
1140,3.82,136838
1141,3.88,25302
1142,4.09,34006
1143,3.59,263
1144,3.75,93791
1145,3.88,36978
1146,4.02,33104
1147,3.72,192837
1148,3.71,36807
1149,3.71,34447
1150,3.75,73091
1151,3.76,55940
1152,3.82,18529
1153,4.11,19351
1154,3.6,61344
1155,4.21,31739
1156,3.59,45675
1157,3.68,56547
1158,3.54,122370
1159,3.47,23956
1160,3.76,103794
1161,4.02,15385
1162,3.8,28335
1163,3.67,30957
1164,3.77,73243
1165,3.69,51917
1166,3.44,23738
1167,3.4,38832
1168,3.61,38826
1169,3.69,83849
1170,3.89,37642
1171,3.66,64858
1172,3.5,24994
1173,3.77,61955
1174,3.85,44001
1175,4.17,30896
1176,3.76,14454
1177,3.71,19961
1178,3.66,44553
1179,3.67,30626
1180,3.55,23511
1181,3.78,113755
1182,3.56,100418
1183,3.6,40985
1184,3.78,41472
1185,3.95,34243
1186,4.06,12566
1187,3.54,43324
1188,4.25,14579
1189,3.79,41498
1190,3.74,47279
1191,3.86,28087
1192,3.91,49865
1193,3.3,11999
1194,3.53,35196
1195,3.41,35866
1196,4.01,34037
1197,3.56,23954
1198,3.69,14948
1199,4.13,42802
1200,3.84,20269
1201,4.19,21596
1202,3.59,52695
1203,3.45,23417
1204,3.56,58340
1205,3.69,77984
1206,3.71,35765
1207,3.71,78685
1208,3.81,36676
1209,3.14,17106
1210,3.68,16718
1211,3.98,23872
1212,4.16,8043
1213,3.71,37528
1214,3.95,54165
1215,3.73,43686
1216,3.58,58652
1217,3.77,58553
1218,3.47,70429
1219,3.57,28173
1220,3.57,28705
1221,3.96,13763
1222,3.81,67653
1223,3.95,29290
1224,3.96,14842
1225,3.73,33786
1226,3.68,16909
1227,3.22,22116
1228,3.76,17849
1229,3.28,11365
1230,3.46,24012
1231,3.73,17108
1232,3.53,35619
1233,3.48,29016
1234,3.67,8568
1235,3.81,27654
1236,4.04,23071
1237,3.63,22531
1238,3.86,22020
1239,3.57,13808
1240,3.87,11977
1241,3.77,17791
1242,3.62,25453
1243,3.98,19376
1244,3.95,22785
1245,3.76,21195
1246,3.08,11317
1247,3.49,18520
1248,3.68,33065
1249,3.86,14827
1250,3.86,14827
1251,3.68,23851
1252,3.75,27324
1253,3.53,25151
1254,3.54,24225
1255,3.93,25640
1256,3.44,29941
1257,3.83,18587
1258,3.85,69924
1259,3.67,46107
1260,3.62,18344
1261,3.71,18169
1262,3.81,388941
1263,3.46,15317
1264,3.78,12731
1265,3.73,17464
1266,3.46,13013
1267,3.45,25942
1268,3.96,17576
1269,3.62,32914
1270,3.66,41991
1271,3.65,14520
1272,3.28,72680
1273,4.1,11843
1274,3.7,38032
1275,3.5,8565
1276,3.88,10019
1277,3.63,17501
1278,3.45,7304
1279,3.7,11902
1280,3.5,35379
1281,4.12,11019
1282,3.89,30796
1283,3.55,48168
1284,3.82,17406
1285,3.72,24773
1286,3.56,30903
1287,3.68,48651
1288,3.79,28485
1289,3.56,19180
1290,4.05,13138
1291,3.67,15312
1292,3.76,22926
1293,3.72,28508
1294,3.63,18139
1295,3.81,5810
1296,3.94,18657
1297,3.41,64654
1298,3.79,26490
1299,3.81,18121
1300,3.78,23772
1301,3.88,18157
1302,3.36,9543
1303,3.72,6362
1304,3.98,25142
1305,3.74,11152
1306,3.68,20648
1307,3.51,16755
1308,3.96,28563
1309,3.78,12449
1310,3.78,12449
1311,3.83,13671
1312,3.63,28250
1313,3.75,23465
1314,3.8,51210
1315,3.57,13188
1316,3.72,77758
1317,3.89,19220
1318,3.73,17110
1319,3.67,10181
1320,3.96,23807
1321,3.75,10163
1322,3.36,1574
1323,3.71,18219
1324,3.39,13996
1325,4.01,18126
1326,3.95,27356
1327,3.59,20494
1328,3.85,10029
1329,3.58,21718
1330,3.73,25040
1331,3.72,12856
1332,3.93,16345
1333,3.74,14498
1334,3.96,10531
1335,3.66,554
1336,4.22,6716
1337,3.81,18190
1338,3.55,17747
1339,3.71,16467
1340,3.8,28252
1341,3.69,33179
1342,3.64,15035
1343,3.99,7214
1344,3.87,9952
1345,3.68,21124
1346,3.91,13691
1347,3.81,13616
1348,4.28,11653
1349,4.2,68548
1350,4.74,3296
1351,3.82,21027
1352,3.65,11451
1353,3.73,18346
1354,3.72,35124
1355,3.43,14923
1356,3.77,19000
1357,3.24,5662
1358,3.81,39319
1359,3.64,11802
1360,3.08,10088
1361,3.52,19712
1362,3.89,7072
1363,3.74,12244
1364,3.48,6781
1365,3.85,5880
1366,3.85,5880
1367,3.64,15694
1368,3.85,21778
1369,3.57,3873
1370,3.73,30840
1371,3.58,17401
1372,3.82,13004
1373,4.13,8155
1374,3.49,12524
1375,3.5,26167
1376,3.63,14718
1377,3.44,13108
1378,3.85,13588
1379,3.68,13544
1380,3.94,26093
1381,3.48,6932
1382,3.48,6932
1383,3.75,15833
1384,3.27,7818
1385,3.53,29119
1386,3.91,50443
1387,3.59,36309
1388,3.58,16409
1389,3.9,11938
1390,3.59,11626
1391,3.79,16413
1392,4.16,5167
1393,4.1,8704
1394,3.79,27707
1395,3.35,32716
1396,2.99,9467
1397,3.75,13340
1398,3.7,31957
1399,3.41,8149
1400,3.82,19618
1401,3.99,20583
1402,3.41,4556
1403,3.7,23007
1404,3.62,13785
1405,3.37,8044
1406,3.48,7547
1407,3.72,16393
1408,3.71,38475
1409,3.61,15906
1410,3.66,13627
1411,3.64,17670
1412,3.76,17569
1413,3.9,16932
1414,3.48,15673
1415,3.46,6022
1416,3.85,19035
1417,3.53,5755
1418,3.63,11822
1419,3.6,12320
1420,3.74,7064
1421,3.86,17203
1422,3.57,10265
1423,3.74,13063
1424,3.46,8062
1425,3.81,388941
1426,3.61,16432
1427,3.66,12105
1428,3.79,7657
1429,3.79,13812
1430,3.76,9160
1431,3.77,19047
1432,3.7,13316
1433,3.78,12671
1434,3.81,16786
1435,3.46,3962
1436,3.79,15200
1437,3.4,13300
1438,3.58,7501
1439,3.51,29587
1440,3.51,8475
1441,3.73,19658
1442,3.78,35544
1443,3.78,35544
1444,4.01,6465
1445,3.35,4498
1446,3.81,1740
1447,3.62,13298
1448,3.52,8950
1449,3.8,8715
1450,4.05,10553
1451,3.85,18321
1452,3.79,10316
1453,3.57,14242
1454,3.9,10301
1455,3.79,19110
1456,3.91,18692
1457,3.78,13923
1458,3.96,13367
1459,3.35,11497
1460,3.67,9992
1461,3.98,3801
1462,4.11,11229
1463,3.62,14301
1464,3.38,4706
1465,3.94,7094
1466,3.94,7094
1467,3.78,39158
1468,3.91,23964
1469,3.75,18571
1470,3.46,4774
1471,3.78,9284
1472,3.74,15073
1473,3.17,1768
1474,3.91,8872
1475,3.67,6429
1476,3.76,8711
1477,4.01,9347
1478,3.41,9826
1479,3.71,24848
1480,3.57,3411
1481,3.44,11805
1482,3.98,13219
1483,3.57,5034
1484,3.56,14620
1485,3.72,24974
1486,3.85,11089
1487,3.77,20085
1488,3.63,6658
1489,3.73,11207
1490,3.72,9090
1491,4.07,11457
1492,3.58,24184
1493,3.49,9273
1494,3.57,10034
1495,3.61,12237
1496,3.79,5580
1497,3.6,6823
1498,3.71,28029
1499,3.55,11544
1500,3.6,7454
